channel, mean, rms, meaner, rmserr, tv
1733,815.47,5.73,0,0,1
1731,781.78,5.41,0,0,1
1729,791.59,5.87,0,0,1
1728,789.58,5.92,0,0,1
1759,753.01,5.85,0,0,1
1758,776.26,4.7,0,0,1
1756,792.11,5.43,0,0,1
1754,768.08,5.3,0,0,1
1752,768.19,5.03,0,0,1
1750,771.89,5.12,0,0,1
1748,764.65,4.88,0,0,1
1746,796.37,5.35,0,0,1
1744,795.82,5.61,0,0,1
1823,791.12,4.87,0,0,1
1821,805.48,5.72,0,0,1
1819,793.72,5.17,0,0,1
1817,776.07,4.52,0,0,1
1841,760.35,5.2,0,0,1
1842,750.33,5.01,0,0,1
1843,764.64,6.11,0,0,1
1844,771.53,3.7,0,0,1
1845,778.24,4.6,0,0,1
1846,756.58,4.79,0,0,1
1847,783.6,5.06,0,0,1
1848,764.93,4.47,0,0,1
1849,759.28,4.19,0,0,1
1850,759.34,4.46,0,0,1
1851,772.4,3.63,0,0,1
1852,763.07,4.22,0,0,1
1853,785.77,4.79,0,0,1
1854,753.6,5.45,0,0,1
